Frame,Timestamp,MP,PIP,DIP,AccScore
245,11373,172,180,179,11
246,11409,172,180,179,11
247,11449,172,180,179,11
248,11488,173,180,179,9
249,11527,173,180,179,9
250,11565,173,180,179,9
251,11602,173,180,179,9
252,11642,173,180,179,9
253,11680,173,180,179,9
254,11721,173,180,179,9
255,11762,172,180,180,11
256,11798,170,180,180,13
257,11836,168,180,180,16
258,11870,165,180,181,20
259,11910,162,180,181,24
260,11950,158,181,182,29
261,11998,156,181,182,32
262,12036,155,181,182,33
263,12074,153,181,181,36
264,12115,153,181,181,36
265,12151,151,181,180,39
266,12188,150,181,180,40
267,12224,144,181,180,48
268,12264,135,180,179,60
269,12301,130,179,179,67
270,12337,127,178,178,71
271,12376,125,178,177,73
272,12412,122,177,175,77
273,12449,121,175,174,79
274,12487,119,174,173,81
275,12534,118,174,172,83
276,12575,117,174,173,84
277,12615,115,174,174,87
278,12653,115,174,174,87
279,12690,113,175,174,89
280,12726,112,173,173,91
281,12764,112,172,173,91
282,12801,111,171,173,92
283,12842,111,169,173,92
284,12878,110,170,174,93
285,12916,111,168,172,92
286,12950,110,169,173,93
287,12986,110,169,173,93
288,13024,110,168,188,93
289,13076,109,166,188,95
290,13113,109,164,188,95
291,13152,108,166,188,96
292,13190,105,165,187,100
293,13225,106,197,187,99
294,13260,105,196,187,100
295,13300,106,197,187,99
296,13345,104,194,187,100
297,13382,103,194,187,100
298,13423,104,196,188,100
299,13460,103,195,186,100
300,13499,103,196,187,100
301,13538,102,196,186,100
302,13580,102,196,187,100
303,13617,101,195,186,100
304,13654,102,195,187,100
305,13688,101,194,186,100
306,13725,102,194,187,100
307,13766,100,192,186,100
308,13805,101,192,186,100
309,13844,102,193,185,100
310,13882,105,209,187,100
311,13919,113,161,178,89
312,13957,117,165,177,84
313,13994,127,169,176,71
314,14033,131,172,175,65
315,14072,139,175,177,55
316,14110,143,177,177,49
317,14148,148,180,178,43
318,14186,150,181,179,40
319,14225,155,181,180,33
320,14261,160,181,180,27
321,14302,162,181,180,24
322,14340,165,180,179,20
323,14378,167,180,179,17
324,14417,168,180,179,16
325,14469,169,180,179,15
326,14523,169,180,179,15
327,14562,168,179,179,16
328,14598,166,180,180,19
329,14637,164,181,180,21
330,14674,160,183,181,27
331,14709,157,184,181,31
332,14745,152,184,182,37
333,14786,150,185,182,40
334,14822,144,183,182,48
335,14859,140,182,180,53
336,14895,133,179,177,63
337,14930,128,178,175,69
338,14968,125,177,175,73
339,15006,124,177,174,75
340,15045,122,177,173,77
341,15085,121,177,174,79
342,15121,120,174,173,80
343,15160,120,172,173,80
344,15195,120,172,173,80
345,15236,117,172,173,84
346,15270,116,171,175,85
347,15308,113,171,177,89
348,15349,110,172,178,93
349,15385,109,172,177,95
350,15421,106,241,201,99
351,15459,106,266,207,99
352,15498,107,275,207,97
353,15539,106,278,209,99
354,15577,106,280,209,99
355,15612,106,281,209,99
356,15651,106,282,210,99
357,15700,106,282,211,99
358,15762,106,283,210,99
359,15801,107,283,210,97
360,15844,107,283,210,97
361,15886,107,284,210,97
362,15924,108,284,211,96
363,15962,108,284,211,96
364,16000,107,283,211,97
365,16036,107,283,212,97
366,16073,108,284,213,96
367,16110,107,283,212,97
368,16147,107,284,212,97
369,16182,108,284,213,96
370,16222,107,283,212,97
371,16258,108,284,211,96
372,16294,108,284,210,96
373,16336,107,283,210,97
374,16372,107,283,211,97
375,16411,106,283,212,99
376,16450,106,283,213,99
377,16486,106,283,212,99
378,16524,107,284,212,97
379,16561,107,275,208,97
380,16600,108,280,209,96
381,16637,108,282,210,96
382,16674,108,283,212,96
383,16716,108,284,214,96
384,16758,109,285,214,95
385,16795,109,285,214,95
386,16831,108,285,215,96
387,16867,105,284,216,100
388,16904,104,283,218,100
389,16945,105,283,218,100
390,16987,106,282,217,99
391,17025,107,282,215,97
392,17084,107,279,211,97
393,17130,107,281,212,97
394,17170,104,278,210,100
395,17215,102,275,210,100
396,17253,102,275,210,100
397,17293,102,273,208,100
398,17332,103,276,207,100
399,17370,105,279,209,100
400,17406,106,279,207,99
401,17446,106,280,207,99
402,17486,105,279,206,100
403,17522,105,279,206,100
404,17558,106,280,208,99
405,17595,106,281,209,99
406,17635,106,280,208,99
407,17672,106,280,208,99
408,17711,105,278,207,100
409,17745,104,278,207,100
410,17782,104,278,207,100
411,17819,104,278,207,100
412,17854,104,277,206,100
413,17890,104,276,206,100
414,17928,104,276,206,100
415,17966,105,278,206,100
416,18001,107,281,208,97
417,18038,108,282,209,96
418,18077,109,283,209,95
419,18119,109,284,211,95
420,18156,112,258,209,91
421,18192,119,224,193,81
422,18231,122,152,189,77
423,18272,132,163,171,64
424,18343,137,167,169,57
425,18396,145,169,171,47
426,18448,152,173,174,37
427,18512,158,176,177,29
428,18560,164,176,178,21
