Frame,Timestamp,MP,PIP,DIP,AccScore
1,2.33,182,164,171,0
2,2.37,181,164,173,0
3,2.41,183,165,174,0
4,2.45,184,164,175,0
5,2.48,182,166,175,0
6,2.52,181,167,175,0
7,2.56,179,169,175,1
8,2.60,178,170,175,3
9,2.63,175,171,175,7
10,2.67,174,172,176,8
11,2.71,173,172,176,9
12,2.74,173,173,176,9
13,2.78,173,172,176,9
14,2.82,173,172,176,9
15,2.85,173,172,177,9
16,2.89,173,172,177,9
17,2.93,173,172,176,9
18,2.96,172,173,177,11
19,3.00,172,174,178,11
20,3.04,171,175,178,12
21,3.08,169,177,179,15
22,3.11,169,177,179,15
23,3.15,167,178,180,17
24,3.19,166,179,180,19
25,3.22,165,179,181,20
26,3.26,165,180,181,20
27,3.30,164,180,182,21
28,3.33,164,180,182,21
29,3.37,162,180,182,24
30,3.40,160,180,182,27
31,3.45,159,179,182,28
32,3.48,156,179,182,32
33,3.52,155,179,182,33
34,3.56,149,179,181,41
35,3.60,146,179,182,45
36,3.63,142,179,182,51
37,3.67,140,180,183,53
38,3.71,138,180,182,56
39,3.75,135,181,183,60
40,3.79,134,180,183,61
41,3.83,132,182,183,64
42,3.86,131,181,183,65
43,3.90,127,182,184,71
44,3.94,122,180,183,77
45,3.98,119,179,182,81
46,4.01,117,178,181,84
47,4.05,116,177,180,85
48,4.09,115,178,180,87
49,4.13,114,177,181,88
50,4.17,113,177,180,89
51,4.20,112,175,180,91
52,4.24,112,174,180,91
53,4.28,109,171,180,95
54,4.33,109,168,178,95
55,4.37,108,166,178,96
56,4.41,107,164,177,97
57,4.47,108,164,177,96
58,4.52,108,162,184,96
59,4.55,109,162,185,95
60,4.59,109,161,185,95
61,4.63,109,160,185,95
62,4.67,109,160,186,95
63,4.70,110,160,186,93
64,4.74,110,159,187,93
65,4.78,110,161,185,93
66,4.82,110,167,178,93
67,4.85,110,170,181,93
68,4.89,113,174,185,89
69,4.93,115,177,187,87
70,4.96,124,179,186,75
71,5.00,128,179,185,69
72,5.04,136,179,184,59
73,5.07,145,180,183,47
74,5.11,149,181,182,41
75,5.14,151,181,181,39
76,5.18,154,181,181,35
77,5.22,157,180,181,31
78,5.26,159,180,180,28
79,5.29,161,181,180,25
80,5.33,162,181,180,24
81,5.37,163,180,180,23
82,5.41,165,180,180,20
83,5.45,166,180,180,19
84,5.48,166,180,180,19
85,5.52,167,181,180,17
86,5.55,167,181,180,17
87,5.59,167,181,180,17
88,5.63,168,181,180,16
89,5.68,168,182,181,16
90,5.72,168,182,181,16
91,5.78,168,181,181,16
92,5.83,167,180,181,17
93,5.88,165,180,181,20
94,5.92,163,180,181,23
95,5.96,159,181,181,28
96,6.00,157,181,181,31
97,6.04,154,181,181,35
98,6.08,150,179,180,40
99,6.12,147,179,181,44
100,6.15,144,178,180,48
101,6.19,142,178,180,51
102,6.24,138,178,180,56
103,6.27,132,179,182,64
104,6.31,128,180,184,69
105,6.35,124,181,185,75
106,6.39,122,181,185,77
107,6.43,121,180,183,79
108,6.47,120,180,183,80
109,6.51,119,177,181,81
110,6.54,117,175,180,84
111,6.58,116,175,180,85
112,6.62,115,173,182,87
113,6.66,114,173,183,88
114,6.70,112,173,184,91
115,6.74,111,171,184,92
116,6.78,110,171,184,93
117,6.82,108,208,184,96
118,6.86,107,213,187,97
119,6.90,106,235,202,99
120,6.94,106,243,205,99
121,7.00,105,254,205,100
122,7.06,104,259,203,100
123,7.10,105,260,203,100
124,7.14,104,262,203,100
125,7.19,105,265,202,100
126,7.23,105,266,201,100
127,7.26,104,268,201,100
128,7.30,105,272,201,100
129,7.34,105,269,201,100
130,7.38,105,272,201,100
131,7.41,106,262,202,99
132,7.45,106,263,202,99
